Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,25,OKC,29,2,19.8,1.9,5.3,.359,1.4,4.3,.323,0.5,1.0,.517,.490,0.4,0.4,.923,0.2,1.4,1.6,0.7,0.6,0.2,0.5,1.8,5.6
2,Jaylen Adams\adamsja01,PG,22,ATL,8,0,3.4,0.3,0.8,.333,0.3,0.6,.400,0.0,0.1,.000,.500,0.0,0.0,,0.0,0.4,0.4,0.5,0.1,0.1,0.1,0.0,0.8
3,Steven Adams\adamsst01,C,25,OKC,32,32,33.6,6.8,11.3,.595,0.0,0.0,,6.8,11.3,.595,.595,2.6,4.7,.550,4.9,5.0,9.9,1.6,1.4,0.8,1.6,2.3,16.1
4,Bam Adebayo\adebaba01,C,21,MIA,33,5,20.8,2.7,5.2,.520,0.0,0.2,.200,2.7,5.1,.530,.523,1.9,2.8,.703,2.1,4.8,7.0,1.9,0.7,0.9,1.3,2.6,7.4
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,3.1,0.4,1.4,.300,0.0,0.6,.000,0.4,0.9,.500,.300,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0
6,LaMarcus Aldridge\aldrila01,C,33,SAS,35,35,32.1,7.5,15.4,.489,0.1,0.4,.154,7.5,15.1,.497,.491,3.7,4.5,.828,3.0,6.2,9.1,2.1,0.5,1.1,1.8,2.1,18.9
7,Rawle Alkins\alkinra01,SG,21,CHI,2,0,2.0,0.5,2.0,.250,0.5,0.5,1.000,0.0,1.5,.000,.375,0.0,0.0,,1.5,0.0,1.5,1.0,0.5,0.0,0.0,0.0,1.5
8,Grayson Allen\allengr01,SG,23,UTA,17,1,9.7,1.2,3.6,.323,0.6,2.4,.268,0.5,1.2,.429,.411,1.1,1.5,.720,0.1,0.2,0.3,0.4,0.1,0.0,0.6,1.1,4.1
9,Jarrett Allen\allenja01,C,20,BRK,34,34,27.1,4.6,7.7,.594,0.1,0.7,.167,4.4,7.0,.637,.602,2.6,3.6,.727,2.6,5.6,8.2,1.6,0.5,1.4,1.3,2.5,11.8
10,Al-Farouq Aminu\aminual01,PF,28,POR,34,34,30.0,3.1,7.1,.430,1.4,3.9,.353,1.7,3.2,.523,.527,1.6,2.0,.812,1.3,6.6,7.9,0.8,1.0,0.3,0.9,2.1,9.1
11,Justin Anderson\anderju01,SG,25,ATL,15,0,7.8,1.5,3.1,.478,0.3,1.3,.200,1.2,1.7,.692,.522,0.7,0.7,.909,0.4,1.1,1.5,0.6,0.5,0.2,0.3,1.0,3.9
